"","ID_ENTIDAD","Estado"
"1",1,"Aguascalientes"
"2",2,"Baja California"
"3",3,"Baja California Sur"
"4",4,"Campeche"
"5",5,"Coahuila de Zaragoza"
"6",6,"Colima"
"7",7,"Chiapas"
"8",8,"Chihuahua"
"9",9,"Ciudad de Mexico"
"10",10,"Durango"
"11",11,"Guanajuato"
"12",12,"Guerrero"
"13",13,"Hidalgo"
"14",14,"Jalisco"
"15",15,"Mexico"
"16",16,"Michoacan de Ocampo"
"17",17,"Morelos"
"18",18,"Nayarit"
"19",19,"Nuevo Leon"
"20",20,"Oaxaca"
"21",21,"Puebla"
"22",22,"Queretaro"
"23",23,"Quintana Roo"
"24",24,"San Luis Potosi"
"25",25,"Sinaloa"
"26",26,"Sonora"
"27",27,"Tabasco"
"28",28,"Tamaulipas"
"29",29,"Tlaxcala"
"30",30,"Veracruz de Ignacio de la Llave"
"31",31,"Yucatan"
"32",32,"Zacatecas"
